tree_root,grid_id,grid_dir,region,has_config,model_version,imagery_source,config_tiles_dir,model_path,result_count,gpkg_row_count,created_at_utc,target_region,target_run,route_reason
/home/gaosh/projects/ZAsolar/results_joburg,G1630,/home/gaosh/projects/ZAsolar/results_joburg/G1630,AMBIGUOUS,True,exp003_C_targeted_hn,unknown,/workspace/tiles/G1630,/workspace/checkpoints/exp003_C_targeted_hn/best_model.pth,109.0,109.0,2026-03-29T04:35:47.815553+00:00,cape_town,v3c_targeted_hn_aerial_2025,V3C on CT aerial
/home/gaosh/projects/ZAsolar/results_joburg,G1631,/home/gaosh/projects/ZAsolar/results_joburg/G1631,AMBIGUOUS,True,exp003_C_targeted_hn,unknown,/workspace/tiles/G1631,/workspace/checkpoints/exp003_C_targeted_hn/best_model.pth,302.0,302.0,2026-03-29T04:36:24.981957+00:00,cape_town,v3c_targeted_hn_aerial_2025,V3C on CT aerial
/home/gaosh/projects/ZAsolar/results_joburg,G1632,/home/gaosh/projects/ZAsolar/results_joburg/G1632,AMBIGUOUS,True,exp003_C_targeted_hn,unknown,/workspace/tiles/G1632,/workspace/checkpoints/exp003_C_targeted_hn/best_model.pth,82.0,82.0,2026-03-29T04:36:47.278075+00:00,cape_town,v3c_targeted_hn_aerial_2025,V3C on CT aerial
/home/gaosh/projects/ZAsolar/results_joburg,G1633,/home/gaosh/projects/ZAsolar/results_joburg/G1633,AMBIGUOUS,True,exp003_C_targeted_hn,unknown,/workspace/tiles/G1633,/workspace/checkpoints/exp003_C_targeted_hn/best_model.pth,132.0,132.0,2026-03-29T04:37:01.215911+00:00,cape_town,v3c_targeted_hn_aerial_2025,V3C on CT aerial
/home/gaosh/projects/ZAsolar/results_joburg,G1634,/home/gaosh/projects/ZAsolar/results_joburg/G1634,AMBIGUOUS,True,exp003_C_targeted_hn,unknown,/workspace/tiles/G1634,/workspace/checkpoints/exp003_C_targeted_hn/best_model.pth,313.0,313.0,2026-03-29T04:37:37.717359+00:00,cape_town,v3c_targeted_hn_aerial_2025,V3C on CT aerial
/mnt/d/ZAsolar/results,G1855,/mnt/d/ZAsolar/results/G1855,AMBIGUOUS,True,exp003_C_targeted_hn,unknown,/dev/shm/tiles/G1855,/workspace/checkpoints/exp003_C_targeted_hn/best_model.pth,385.0,385.0,2026-03-31T10:20:46.196192+00:00,cape_town,v3c_targeted_hn_aerial_2025,V3C on CT aerial
/mnt/d/ZAsolar/results,G1856,/mnt/d/ZAsolar/results/G1856,AMBIGUOUS,True,exp003_C_targeted_hn,unknown,/dev/shm/tiles/G1856,/workspace/checkpoints/exp003_C_targeted_hn/best_model.pth,39.0,39.0,2026-03-31T10:19:08.132028+00:00,cape_town,v3c_targeted_hn_aerial_2025,V3C on CT aerial
/mnt/d/ZAsolar/results,G1862,/mnt/d/ZAsolar/results/G1862,AMBIGUOUS,True,exp003_C_targeted_hn,unknown,/dev/shm/tiles/G1862,/workspace/checkpoints/exp003_C_targeted_hn/best_model.pth,79.0,80.0,2026-03-31T10:19:47.675768+00:00,cape_town,v3c_targeted_hn_aerial_2025,V3C on CT aerial
/mnt/d/ZAsolar/results,G1863,/mnt/d/ZAsolar/results/G1863,AMBIGUOUS,True,exp003_C_targeted_hn,unknown,/dev/shm/tiles/G1863,/workspace/checkpoints/exp003_C_targeted_hn/best_model.pth,155.0,156.0,2026-03-31T10:20:14.080426+00:00,cape_town,v3c_targeted_hn_aerial_2025,V3C on CT aerial
/mnt/d/ZAsolar/results,G1864,/mnt/d/ZAsolar/results/G1864,AMBIGUOUS,True,exp003_C_targeted_hn,unknown,/dev/shm/tiles/G1864,/workspace/checkpoints/exp003_C_targeted_hn/best_model.pth,36.0,36.0,2026-03-31T10:19:21.916663+00:00,cape_town,v3c_targeted_hn_aerial_2025,V3C on CT aerial
/mnt/d/ZAsolar/results,G1909,/mnt/d/ZAsolar/results/G1909,AMBIGUOUS,True,exp003_C_targeted_hn,unknown,/dev/shm/tiles/G1909,/workspace/checkpoints/exp003_C_targeted_hn/best_model.pth,32.0,34.0,2026-03-31T10:19:10.039894+00:00,cape_town,v3c_targeted_hn_aerial_2025,V3C on CT aerial
/mnt/d/ZAsolar/results,G1910,/mnt/d/ZAsolar/results/G1910,AMBIGUOUS,True,exp003_C_targeted_hn,unknown,/dev/shm/tiles/G1910,/workspace/checkpoints/exp003_C_targeted_hn/best_model.pth,53.0,53.0,2026-03-31T10:21:38.143484+00:00,cape_town,v3c_targeted_hn_aerial_2025,V3C on CT aerial
/mnt/d/ZAsolar/results,G1911,/mnt/d/ZAsolar/results/G1911,AMBIGUOUS,True,exp003_C_targeted_hn,unknown,/dev/shm/tiles/G1911,/workspace/checkpoints/exp003_C_targeted_hn/best_model.pth,6.0,7.0,2026-03-31T10:21:24.699236+00:00,cape_town,v3c_targeted_hn_aerial_2025,V3C on CT aerial
/mnt/d/ZAsolar/results,G1917,/mnt/d/ZAsolar/results/G1917,AMBIGUOUS,True,exp003_C_targeted_hn,unknown,/dev/shm/tiles/G1917,/workspace/checkpoints/exp003_C_targeted_hn/best_model.pth,107.0,107.0,2026-03-31T10:22:11.814231+00:00,cape_town,v3c_targeted_hn_aerial_2025,V3C on CT aerial
/mnt/d/ZAsolar/results,G1918,/mnt/d/ZAsolar/results/G1918,AMBIGUOUS,True,exp003_C_targeted_hn,unknown,/dev/shm/tiles/G1918,/workspace/checkpoints/exp003_C_targeted_hn/best_model.pth,132.0,132.0,2026-03-31T10:23:10.821533+00:00,cape_town,v3c_targeted_hn_aerial_2025,V3C on CT aerial
/mnt/d/ZAsolar/results,G1919,/mnt/d/ZAsolar/results/G1919,AMBIGUOUS,True,exp003_C_targeted_hn,unknown,/dev/shm/tiles/G1919,/workspace/checkpoints/exp003_C_targeted_hn/best_model.pth,172.0,174.0,2026-03-31T10:24:15.863434+00:00,cape_town,v3c_targeted_hn_aerial_2025,V3C on CT aerial
/mnt/d/ZAsolar/results,G1920,/mnt/d/ZAsolar/results/G1920,AMBIGUOUS,True,exp003_C_targeted_hn,unknown,/dev/shm/tiles/G1920,/workspace/checkpoints/exp003_C_targeted_hn/best_model.pth,155.0,163.0,2026-03-31T10:24:50.345675+00:00,cape_town,v3c_targeted_hn_aerial_2025,V3C on CT aerial
/mnt/d/ZAsolar/results,G1921,/mnt/d/ZAsolar/results/G1921,AMBIGUOUS,True,exp003_C_targeted_hn,unknown,/dev/shm/tiles/G1921,/workspace/checkpoints/exp003_C_targeted_hn/best_model.pth,13.0,13.0,2026-03-31T10:23:58.869606+00:00,cape_town,v3c_targeted_hn_aerial_2025,V3C on CT aerial
/mnt/d/ZAsolar/results,G1966,/mnt/d/ZAsolar/results/G1966,AMBIGUOUS,True,exp003_C_targeted_hn,unknown,/dev/shm/tiles/G1966,/workspace/checkpoints/exp003_C_targeted_hn/best_model.pth,6.0,6.0,2026-03-31T10:23:55.361596+00:00,cape_town,v3c_targeted_hn_aerial_2025,V3C on CT aerial
