h3,lat,lng,kw_total,kw_residential,kw_commercial,n_install,n_residential,n_commercial,area_m2,n_poly
89ad368c2abffff,-34.07160255713049,18.47330588082339,0.0,0.0,0.0,0,0,0,39.10261915415013,2
89ad368eb83ffff,-34.1031899813585,18.39709564663746,0.0,0.0,0.0,0,0,0,495.79892335686793,26
89ad368ce93ffff,-34.073730303421016,18.42923665458183,26.6,26.6,0.0,3,3,0,510.53624107991294,24
89ad368c607ffff,-34.08877672424053,18.486471935215345,10.5,0.0,10.5,1,0,1,1029.07007230269,16
89ad368c407ffff,-34.1049069247437,18.471184383169813,0.0,0.0,0.0,0,0,0,1217.4795051772787,42
89ad368cc5bffff,-34.07555483819098,18.423301705530193,0.0,0.0,0.0,0,0,0,24.90189015783893,3
89ad368c443ffff,-34.10125475496015,18.48305846143614,0.0,0.0,0.0,0,0,0,26.82012411321187,2
89ad368ed13ffff,-34.133690510694194,18.39339406038355,0.0,0.0,0.0,0,0,0,475.02999596820007,26
89ad368c637ffff,-34.087821251785755,18.478966189709023,10.6,10.6,0.0,2,2,0,233.52488361811004,14
89ad368c083ffff,-34.093778235652486,18.464909254611165,0.0,0.0,0.0,0,0,0,635.1104306214945,27
89ad36859cfffff,-34.14123193224561,18.331524785636567,0.0,0.0,0.0,0,0,0,580.331984384518,29
89ad368eda7ffff,-34.134549076576455,18.379955186568665,0.0,0.0,0.0,0,0,0,130.37353938280978,5
89ad36859c3ffff,-34.144013371421224,18.33309074543295,0.0,0.0,0.0,0,0,0,251.06224393251966,16
89ad368c38bffff,-34.07199468212913,18.456113732116695,0.0,0.0,0.0,0,0,0,519.1615612303825,24
89ad368edb7ffff,-34.13733049693261,18.381522227088062,0.0,0.0,0.0,0,0,0,451.14847950845825,22
89ad368c08bffff,-34.091474077395105,18.467093140541145,0.0,0.0,0.0,0,0,0,230.62679102413597,12
89ad368c2bbffff,-34.074385547706086,18.47487458756585,0.0,0.0,0.0,0,0,0,110.57275228929629,5
89ad368c38fffff,-34.07151618808076,18.452361853955956,15.21,15.21,0.0,4,4,0,1018.3919274162495,35
89ad368c087ffff,-34.09329990517241,18.461156741372793,0.0,0.0,0.0,0,0,0,851.5730358690118,44
89ad368c12fffff,-34.07603419333594,18.427052978313753,0.0,0.0,0.0,0,0,0,1037.5717779674683,28
89ad3688937ffff,-34.07835752157914,18.546801346486557,0.0,0.0,0.0,0,0,0,38.907252929595415,3
89ad368ceb7ffff,-34.06950880053232,18.41641575139811,0.0,0.0,0.0,0,0,0,202.81739003917642,4
89ad368c2cfffff,-34.07073050641748,18.48674694159071,0.0,0.0,0.0,0,0,0,32.29079939867293,2
89ad368c1c3ffff,-34.086299072512844,18.44676331340968,20.1,20.1,0.0,3,3,0,975.4910183032417,37
